OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO,CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION,N_OC,CANTIDAD_oc,OBSERVACION,PRECIO_UNITARIO_oc,TOTAL_oc,C_REPUESTO,IDINTERNO
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000073,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356493
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000137,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357494
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000039,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356015
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000088,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356717
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000112,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357054
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000113,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357073
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000162,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357793
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000182,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358195
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000183,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358213
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000183,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358218
